rank,status,name,team,games played,goals,assists,points,plus/minus,penalty minutes,power play goals,power play assists,short handed goals,shots,short handed assists,game winning goals,first goals,insurance goals,overtime goals,unassisted goals,empty net,shooting percentage,shootout goals,shots in shootouts,shootout winning goals,shootout percentage,season,jersey number,position,shoots,date of birth,hometown,hometown location,home country,age
1,,Hilary Knight,BOS,23,12,12,24,5,8,2,4,0,80,0,4,1,0,0,0,2,15.0,1,4,0,25.0,1,21,forward,right,1989-07-12,Sun Valley,ID,USA,35
2,,Hannah Miller,TOR,22,10,13,23,9,4,4,8,0,48,0,1,2,1,0,1,0,20.8,0,2,0,0.0,1,34,forward,left,1996-02-16,North Vancouver,BC,CAN,29
3,rookie,Sarah Fillier,NY,22,9,14,23,5,27,3,4,0,73,0,0,2,1,0,1,0,12.3,0,4,0,0.0,1,10,forward,right,2000-06-09,Georgetown,ON,CAN,24
4,,Kendall Coyne Schofield,MIN,24,10,11,21,12,4,0,1,0,68,0,2,3,1,1,1,0,14.7,0,0,0,0.0,1,26,forward,left,1992-05-25,Palos Heights,IL,USA,32
5,,Daryl Watts,TOR,23,6,15,21,-6,12,3,8,0,79,1,1,0,0,1,1,0,7.6,0,2,0,0.0,1,9,forward,left,1999-05-15,Toronto,ON,CAN,25
6,,Renata Fast,TOR,23,5,15,20,0,26,2,11,0,47,0,2,0,0,1,1,0,10.6,0,0,0,0.0,1,14,defense,right,1994-10-06,Burlington,ON,CAN,30
7,,Marie-Philip Poulin,MTL,23,14,5,19,14,19,2,2,1,71,0,5,3,2,0,2,2,19.7,4,7,3,57.1,1,29,forward,left,1991-03-28,Beauceville,QC,CAN,33
8,,Taylor Heise,MIN,23,6,13,19,1,4,2,5,0,62,0,2,1,0,1,0,0,9.7,2,6,1,33.3,1,27,forward,right,2000-03-17,Lake City,MN,USA,24
9,,Jessie Eldridge,NY,22,7,11,18,-1,18,3,6,0,61,0,2,2,0,1,0,0,11.5,2,4,1,50.0,1,9,forward,right,1997-12-17,Barrie,ON,CAN,27
10,,Alina Müller,BOS,22,7,10,17,2,4,2,1,2,44,0,0,4,1,0,2,1,15.9,1,2,1,50.0,1,11,forward,left,1998-03-12,Winterthur,SWI,SWI,27
11,,Sophie Jaques,MIN,19,4,13,17,6,6,1,0,0,57,0,0,1,0,0,0,0,7.0,0,1,0,0.0,1,16,defense,right,2000-10-16,Toronto,ON,CAN,24
12,,Claire Thompson,MIN,24,4,13,17,2,6,1,5,0,41,0,0,0,1,0,1,0,9.8,1,3,1,33.3,1,42,defense,left,1998-01-28,Toronto,ON,CAN,27
13,,Alex Carpenter,NY,18,8,8,16,2,0,2,6,0,40,0,2,0,1,1,1,0,20.0,2,4,0,50.0,1,25,forward,left,1994-04-13,North Reading,MA,USA,30
14,,Laura Stacey,MTL,20,8,8,16,9,4,3,0,0,82,0,2,2,1,2,1,1,9.8,1,4,0,25.0,1,7,forward,right,1994-05-05,Kleinburg,ON,CAN,30
15,,Michela Cava,MIN,24,9,6,15,9,4,3,1,0,45,0,0,3,2,0,0,2,20.0,0,1,0,0.0,1,86,forward,right,1994-03-26,Thunder Bay,ON,CAN,30
16,,Jesse Compher,TOR,23,8,7,15,-2,10,3,5,0,61,0,1,3,1,0,1,0,13.1,0,1,0,0.0,1,18,forward,right,1999-07-01,Northbrook,IL,USA,25
17,,Emily Clark,OTT,23,7,8,15,2,10,0,1,0,67,0,2,2,1,0,2,1,10.4,0,0,0,0.0,1,26,forward,left,1995-11-28,Saskatoon,SK,CAN,29
