,visiting team,home team,venue,date,game start,attendance,seating capacity,weekday
0,New York,Toronto,Mattamy Athletic Centre,"Jan 1, 2024",12:48 PM EST,2537,2600,Monday
1,Montreal,Ottawa,TD Place,"Jan 2, 2024",7:12 PM EST,8318,9862,Tuesday
2,Minnesota,Boston,Tsongas Center,"Jan 3, 2024",7:14 PM EST,4012,6500,Wednesday
3,Toronto,New York,Total Mortgage Arena,"Jan 5, 2024",7:15 PM EST,2152,8412,Friday
4,Montreal,Minnesota,Xcel Energy Center,"Jan 6, 2024",2:42 PM CST,13316,18300,Saturday
5,Montreal,New York,UBS Arena,"Jan 10, 2024",7:11 PM EST,2201,17225,Wednesday
6,Toronto,Minnesota,Xcel Energy Center,"Jan 10, 2024",7:08 PM CST,4707,18300,Wednesday
7,Ottawa,Toronto,Mattamy Athletic Centre,"Jan 13, 2024",1:09 PM EST,2417,2600,Saturday
8,Boston,Montreal,Verdun Auditorium,"Jan 13, 2024",3:48 PM EST,3245,4043,Saturday
9,New York,Minnesota,Xcel Energy Center,"Jan 14, 2024",3:08 PM CST,7951,18300,Sunday
10,New York,Montreal,Place Bell,"Jan 16, 2024",7:09 PM EST,6334,10062,Tuesday
11,Boston,Toronto,Mattamy Athletic Centre,"Jan 17, 2024",7:08 PM EST,2491,2600,Wednesday
12,Minnesota,Ottawa,TD Place,"Jan 17, 2024",7:09 PM EST,5609,9862,Wednesday
13,New York,Boston,Tsongas Center,"Jan 20, 2024",12:39 PM EST,4007,6500,Saturday
14,Toronto,Montreal,Verdun Auditorium,"Jan 20, 2024",8:08 PM EST,3232,4043,Saturday
15,Toronto,Ottawa,TD Place,"Jan 23, 2024",7:08 PM EST,6316,9862,Tuesday
16,Boston,Ottawa,TD Place,"Jan 24, 2024",7:09 PM EST,5208,9862,Wednesday
17,Montreal,Minnesota,Xcel Energy Center,"Jan 24, 2024",7:08 PM CST,5001,18300,Wednesday
18,New York,Toronto,Mattamy Athletic Centre,"Jan 26, 2024",7:08 PM EST,2506,2600,Friday
19,Ottawa,Montreal,Place Bell,"Jan 27, 2024",3:38 PM EST,8646,10062,Saturday
20,Minnesota,Boston,Tsongas Center,"Jan 27, 2024",4:09 PM EST,4059,6500,Saturday
21,Minnesota,New York,Total Mortgage Arena,"Jan 28, 2024",1:08 PM EST,2393,8412,Sunday
22,Minnesota,Toronto,Mattamy Athletic Centre,"Feb 3, 2024",12:06 PM EST,2470,2600,Saturday
23,New York,Ottawa,TD Place,"Feb 4, 2024",1:08 PM EST,8062,9862,Sunday
24,Montreal,Boston,Tsongas Center,"Feb 4, 2024",3:39 PM EST,4210,6500,Sunday
25,Toronto,Boston,Tsongas Center,"Feb 14, 2024",7:08 PM EST,1791,6500,Wednesday
26,Ottawa,Minnesota,Xcel Energy Center,"Feb 14, 2024",7:08 PM CST,6276,18300,Wednesday
27,Montreal,Toronto,Scotiabank Arena,"Feb 16, 2024",7:11 PM EST,19285,18800,Friday
28,Minnesota,Ottawa,TD Place,"Feb 17, 2024",2:08 PM EST,8407,9862,Saturday
29,New York,Boston,Tsongas Center,"Feb 17, 2024",4:09 PM EST,4002,6500,Saturday
30,Minnesota,Montreal,Place Bell,"Feb 18, 2024",1:08 PM EST,10172,10062,Sunday
31,Ottawa,Boston,Tsongas Center,"Feb 19, 2024",4:39 PM EST,2849,6500,Monday
32,Ottawa,Boston,Tsongas Center,"Feb 21, 2024",7:09 PM EST,1889,6500,Wednesday
33,Montreal,New York,UBS Arena,"Feb 21, 2024",7:21 PM EST,2128,17225,Wednesday
34,New York,Toronto,Mattamy Athletic Centre,"Feb 23, 2024",7:09 PM EST,2494,2600,Friday
35,Ottawa,Montreal,Verdun Auditorium,"Feb 24, 2024",2:38 PM EST,3232,4043,Saturday
36,Boston,Minnesota,Xcel Energy Center,"Feb 25, 2024",3:08 PM CST,10186,18300,Sunday
37,Toronto,Minnesota,3M Arena at Mariucci,"Feb 27, 2024",7:08 PM CST,2718,10257,Tuesday
38,New York,Ottawa,TD Place,"Feb 28, 2024",7:08 PM EST,6889,9862,Wednesday
39,Toronto,Ottawa,TD Place,"Mar 2, 2024",3:36 PM EST,8447,9862,Saturday
40,Boston,Montreal,Verdun Auditorium,"Mar 2, 2024",4:09 PM EST,3232,4043,Saturday
41,Minnesota,New York,UBS Arena,"Mar 3, 2024",12:38 PM EST,4459,17225,Sunday
42,Ottawa,Minnesota,Xcel Energy Center,"Mar 5, 2024",7:08 PM CST,4585,18300,Tuesday
43,Montreal,New York,Total Mortgage Arena,"Mar 6, 2024",7:08 PM EST,728,8412,Wednesday
44,Boston,Toronto,Mattamy Athletic Centre,"Mar 6, 2024",7:08 PM EST,2479,2600,Wednesday
45,Montreal,Toronto,Mattamy Athletic Centre,"Mar 8, 2024",7:08 PM EST,2554,2600,Friday
46,New York,Boston,Tsongas Center,"Mar 10, 2024",3:07 PM EST,4607,6500,Sunday
47,Ottawa,Montreal,Place Bell,"Mar 10, 2024",4:09 PM EST,10172,10062,Sunday
48,Boston,Minnesota,Xcel Energy Center,"Mar 13, 2024",7:08 PM CST,4669,18300,Wednesday
49,New York,Minnesota,Xcel Energy Center,"Mar 16, 2024",2:36 PM CST,9006,18300,Saturday
50,Ottawa,Boston,Little Caesars Arena,"Mar 16, 2024",6:10 PM EST,13736,19515,Saturday
51,Toronto,Montreal,PPG Paints Arena,"Mar 17, 2024",12:38 PM EST,8850,18187,Sunday
