rank,status,name,team,games played,goals,assists,points,plus/minus,penalty minutes,power play goals,power play assists,short handed goals,shots,short handed assists,game winning goals,first goals,insurance goals,overtime goals,unassisted goals,empty net,shooting percentage,shootout goals,shots in shootouts,shootout winning goals,shootout percentage,jersey number,position,shoots,date of birth,hometown,hometown location,home country,age
1,,Hannah Miller,TOR,19,10,12,22,8,2,4,8,0,44,0,1,2,1,0,1,0,22.7,0,2,0,0.0,34,forward,left,1996-02-16,North Vancouver,BC,CAN,29
2,,Kendall Coyne Schofield,MIN,19,8,10,18,10,4,0,1,0,53,0,0,2,1,0,1,0,15.1,0,0,0,0.0,26,forward,left,1992-05-25,Palos Heights,IL,USA,32
3,,Daryl Watts,TOR,19,6,12,18,-4,8,3,7,0,68,1,1,0,0,1,1,0,8.8,0,2,0,0.0,9,forward,left,1999-05-15,Toronto,ON,CAN,25
4,rookie,Sarah Fillier,NY,18,5,13,18,4,12,2,3,0,58,0,0,1,1,0,0,0,8.6,0,3,0,0.0,10,forward,right,2000-06-09,Georgetown,ON,CAN,24
5,,Renata Fast,TOR,19,4,13,17,-2,22,2,9,0,39,0,2,0,0,1,1,0,10.3,0,0,0,0.0,14,defense,right,1994-10-06,Burlington,ON,CAN,30
6,,Hilary Knight,BOS,17,8,8,16,4,4,1,2,0,60,0,2,1,0,0,0,1,13.3,1,3,0,33.3,21,forward,right,1989-07-12,Sun Valley,ID,USA,35
7,,Taylor Heise,MIN,18,4,12,16,1,4,1,5,0,51,0,2,1,0,1,0,0,7.8,2,5,1,40.0,27,forward,right,2000-03-17,Lake City,MN,USA,24
8,,Jessie Eldridge,NY,18,6,9,15,0,10,3,5,0,48,0,2,2,0,1,0,0,12.5,2,3,1,66.7,9,forward,right,1997-12-17,Barrie,ON,CAN,27
9,,Claire Thompson,MIN,19,3,12,15,1,4,1,5,0,28,0,0,0,1,0,1,0,10.7,1,2,1,50.0,42,defense,left,1998-01-28,Toronto,ON,CAN,27
10,,Sophie Jaques,MIN,14,3,11,14,3,2,1,0,0,42,0,0,1,0,0,0,0,7.1,0,1,0,0.0,16,defense,right,2000-10-16,Toronto,ON,CAN,24
11,,Marie-Philip Poulin,MTL,16,11,2,13,9,13,2,1,1,52,0,4,2,2,0,2,2,21.2,3,5,2,60.0,29,forward,left,1991-03-28,Beauceville,QC,CAN,33
12,,Alex Carpenter,NY,14,7,6,13,3,0,2,4,0,29,0,2,0,1,1,1,0,24.1,2,3,0,66.7,25,forward,left,1994-04-13,North Reading,MA,USA,30
13,,Michela Cava,MIN,19,7,5,12,9,4,2,0,0,36,0,0,2,2,0,0,1,19.4,0,1,0,0.0,86,forward,right,1994-03-26,Thunder Bay,ON,CAN,30
14,,Abby Boreen,MTL,16,6,6,12,3,8,1,2,0,31,0,0,1,1,0,0,0,19.4,0,0,0,0.0,24,forward,right,2000-04-03,Somerset,WI,USA,24
15,,Jesse Compher,TOR,19,6,6,12,-1,8,3,4,0,55,0,0,2,1,0,1,0,10.9,0,1,0,0.0,18,forward,right,1999-07-01,Northbrook,IL,USA,25
16,,Sarah Nurse,TOR,15,5,7,12,-5,6,3,3,1,51,0,1,0,0,0,0,0,9.8,1,2,0,50.0,20,forward,left,1995-01-04,Hamilton,ON,CAN,30
17,,Megan Keller,BOS,17,5,7,12,3,12,0,4,0,34,0,1,0,2,0,1,1,14.7,0,0,0,0.0,5,defense,left,1996-05-01,Farmington,MI,USA,28
18,rookie,Jennifer Gardiner,MTL,16,3,9,12,7,2,2,2,0,33,0,1,0,0,0,0,0,9.1,0,0,0,0.0,12,forward,left,2001-09-18,Surrey,BC,CAN,23
19,,Tereza Vanišová,OTT,17,8,3,11,1,28,2,1,0,51,0,2,1,1,0,0,0,15.7,0,1,0,0.0,13,forward,left,1996-01-30,Strakonice,CZE,CZE,29
20,,Alina Müller,BOS,16,4,7,11,0,4,1,0,1,30,0,0,3,1,0,2,1,13.3,1,1,1,100.0,11,forward,left,1998-03-12,Winterthur,SWI,SWI,26
21,,Erin Ambrose,MTL,16,0,10,10,11,2,0,5,0,26,0,0,0,0,0,0,0,0.0,0,3,0,0.0,23,defense,right,1994-04-30,Keswick,ON,CAN,30
22,,Susanna Tapani,BOS,17,7,2,9,2,8,2,0,0,36,0,1,2,0,0,1,0,19.4,1,2,0,50.0,77,forward,left,1993-03-02,Turku,FIN,FIN,31
23,rookie,Britta Curl-Salemme,MIN,18,6,3,9,0,12,0,1,0,41,0,2,1,0,1,0,0,14.6,2,4,0,50.0,77,forward,left,2000-03-20,Bismarck,ND,USA,24
